pokemon,final_evolution,final_help_interval,fruit,type,main_skill,final_evolution_step,carry_limit,ingredient,ingredient_num
嘎啦嘎啦,嘎啦嘎啦,3500,勿花果,樹果型,活力填充S,2,15,暖暖薑,1
袋獸,袋獸,2800,柿仔果,食材型,食材獲取S,1,16,暖暖薑,2
凱羅斯,凱羅斯,2400,木子果,食材型,能量填充S,1,19,甜甜蜜,2
百變怪,百變怪,3500,柿仔果,食材型,能量填充Sn,1,13,純粹油,2
伊布,仙子伊布,2600,桃桃果,技能型,活力全體療癒S,2,15,哞哞鮮奶,1
仙子伊布,仙子伊布,2600,桃桃果,技能型,活力全體療癒S,2,15,哞哞鮮奶,1
水伊布,水伊布,3100,橙橙果,技能型,食材獲取S,2,13,哞哞鮮奶,1
雷伊布,雷伊布,2200,萄葡果,技能型,幫手支援S,2,17,哞哞鮮奶,1
火伊布,火伊布,2700,蘋野果,技能型,料理強化S,2,14,哞哞鮮奶,1
太陽伊布,太陽伊布,2400,芒芒果,技能型,能量填充M,2,16,哞哞鮮奶,1
月亮伊布,月亮伊布,3200,異奇果,技能型,活力填充S,2,14,哞哞鮮奶,1
葉伊布,葉伊布,3000,金枕果,技能型,活力療癒S,2,13,哞哞鮮奶,1
冰伊布,冰伊布,3200,莓莓果,技能型,料理強化S,2,12,哞哞鮮奶,1
菊草葉,大竺葵,2800,金枕果,樹果型,能量填充Sn,3,20,放鬆可可,1
月桂葉,大竺葵,2800,金枕果,樹果型,能量填充Sn,3,20,放鬆可可,1
大竺葵,大竺葵,2800,金枕果,樹果型,能量填充Sn,3,20,放鬆可可,1
火球鼠,火爆獸,2400,蘋野果,樹果型,能量填充Sn,3,23,暖暖薑,1
火岩鼠,火爆獸,2400,蘋野果,樹果型,能量填充Sn,3,23,暖暖薑,1
火爆獸,火爆獸,2400,蘋野果,樹果型,能量填充Sn,3,23,暖暖薑,1
小鋸鱷,大力鱷,2800,橙橙果,樹果型,能量填充Sn,3,19,豆製肉,1
藍鱷,大力鱷,2800,橙橙果,樹果型,能量填充Sn,3,19,豆製肉,1
大力鱷,大力鱷,2800,橙橙果,樹果型,能量填充Sn,3,19,豆製肉,1
波克比,波克基斯,2600,桃桃果,技能型,揮指,3,16,特選蛋,1
波克基古,波克基斯,2600,桃桃果,技能型,揮指,3,16,特選蛋,1
波克基斯,波克基斯,2600,桃桃果,技能型,揮指,3,16,特選蛋,1
咩利羊,電龍,2500,萄葡果,技能型,能量填充M,3,15,火辣香草,1
茸茸羊,電龍,2500,萄葡果,技能型,能量填充M,3,15,火辣香草,1
電龍,電龍,2500,萄葡果,技能型,能量填充M,3,15,火辣香草,1
盆才怪,樹才怪,4000,文柚果,技能型,能量填充M,2,10,好眠番茄,1
樹才怪,樹才怪,4000,文柚果,技能型,能量填充M,2,10,好眠番茄,1
小果然,果然翁,3500,芒芒果,技能型,活力療癒S,2,10,特選蘋果,1
果然翁,果然翁,3500,芒芒果,技能型,活力療癒S,2,10,特選蘋果,1
赫拉克羅斯,赫拉克羅斯,2500,木子果,技能型,食材獲取S,1,15,甜甜蜜,1
戴魯比,黑魯加,3300,異奇果,樹果型,能量填充S,2,16,火辣香草,1
黑魯加,黑魯加,3300,異奇果,樹果型,能量填充S,2,16,火辣香草,1
幼基拉斯,班基拉斯,2700,異奇果,食材型,活力填充S,3,19,暖暖薑,2
沙基拉斯,班基拉斯,2700,異奇果,食材型,活力填充S,3,19,暖暖薑,2
班基拉斯,班基拉斯,2700,異奇果,食材型,活力填充S,3,19,暖暖薑,2
懶人獺,過動猿,3200,柿仔果,樹果型,食材獲取S,2,12,好眠番茄,1
過動猿,過動猿,3200,柿仔果,樹果型,食材獲取S,2,12,好眠番茄,1
請假王,請假王,3800,柿仔果,樹果型,食材獲取S,3,12,好眠番茄,1
勾魂眼,勾魂眼,3600,異奇果,技能型,夢之碎片獲取Sn,1,10,純粹油,1
溶食獸,吞食獸,3500,零餘果,技能型,夢之碎片獲取Sn,2,13,萌綠大豆,1
吞食獸,吞食獸,3500,零餘果,技能型,夢之碎片獲取Sn,2,13,萌綠大豆,1
青綿鳥,七夕青鳥,3700,番荔果,樹果型,活力填充S,2,14,特選蛋,1
七夕青鳥,七夕青鳥,3700,番荔果,樹果型,活力填充S,2,14,特選蛋,1
阿勃梭魯,阿勃梭魯,3100,異奇果,食材型,能量填充S,1,14,放鬆可可,2
海豹球,帝牙海獅,3000,莓莓果,樹果型,食材獲取S,3,18,純粹油,1
海魔獅,帝牙海獅,3000,莓莓果,樹果型,食材獲取S,3,18,純粹油,1
帝牙海獅,帝牙海獅,3000,莓莓果,樹果型,食材獲取S,3,18,純粹油,1
利歐路,路卡利歐,2700,櫻子果,技能型,夢之碎片獲取S,2,14,純粹油,1
路卡利歐,路卡利歐,2700,櫻子果,技能型,夢之碎片獲取S,2,14,純粹油,1
不良蛙,毒骷蛙,3400,零餘果,食材型,能量填充S,2,14,純粹油,2
毒骷蛙,毒骷蛙,3400,零餘果,食材型,能量填充S,2,14,純粹油,2
魔尼尼,魔牆人偶,2800,芒芒果,食材型,能量填充S,2,17,好眠番茄,2
魔牆人偶,魔牆人偶,2800,芒芒果,食材型,能量填充S,2,17,好眠番茄,2
